"id","title","original_title","overview","release_date","runtime","vote_average","vote_count","popularity","genres","production_companies","production_countries","spoken_languages","budget","revenue","tagline","status","director","cast","keywords","poster_path","backdrop_path"
"1124","The Prestige","The Prestige","A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences.","2006-10-17","130","8.205","16949","10.4526","","","","","40000000","109676311","Are You Watching Closely?","Released","Christopher Nolan","","","/bdN3gXuIZYaJP7ftKK2sU0nPtEA.jpg","/yCnJT53HMXAK87xzPAdjdYhZ3JE.jpg"
"290098","The Handmaiden","아가씨","1930s Korea, in the period of Japanese occupation, a new girl, Sookee, is hired as a handmaiden to a Japanese heiress, Hideko, who lives a secluded life on a large countryside estate with her domineering Uncle Kouzuki. But the maid has a secret. She is a pickpocket recruited by a swindler posing as a Japanese Count to help him seduce the Lady to steal her fortune.","2016-06-01","145","8.197","4091","8.5545","","","","","8575000","38600000","Never did they expect to get into a controversial relationship...","Released","Park Chan-wook","","","/dLlH4aNHdnmf62umnInL8xPlPzw.jpg","/jnFmHDHmPZrQ7vyHmxXHcoxp25j.jpg"
"59","A History of Violence","A History of Violence","An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.","2005-09-23","96","7.16","3529","3.9004","","","","","32000000","61477797","Tom Stall had the perfect life...until he became a hero.","Released","David Cronenberg","","","/A26rcvipOqptVs7i5uRmKicXRxE.jpg","/ld72xriFXO0tvMrfCsSIoeQlgsk.jpg"
"181886","Enemy","Enemy","A mild-mannered college professor discovers a look-alike actor and delves into the other man's private affairs.","2014-03-14","91","6.9","6199","4.1818","","","","","0","3396726","You can't escape yourself.","Released","Denis Villeneuve","","","/vf40tyDRKZsBmaLsYeopzfFLzLx.jpg","/deYWtXTc56YdXyIuuMuA8dvBY16.jpg"
"949","Heat","Heat","Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.","1995-12-15","170","7.922","7918","12.7162","","","","","60000000","187400000","A Los Angeles crime saga.","Released","Michael Mann","","","/umSVjVdbVwtx5ryCA2QXL44Durm.jpg","/5JaR6UEoCJJLtLpqFOVMY4O4R7P.jpg"
"858058","Burning","Burning","Follows the deadly Australian bushfires of 2019-2020, known as ‘Black Summer’. Burning is an exploration of what happened as told from the perspective of victims of the fires, activists and scientists.","2021-09-09","86","6.8","14","2.9937","","","","","0","0","","Released","Eva Orner","","","/pdEgV6PckeiVcnComUw8bOirrpC.jpg","/jUhpygB8DxyNv9ACFXTW0gPdaxf.jpg"
"310131","The Witch","The Witch","In 1630, a farmer relocates his family to a remote plot of land on the edge of a forest where strange, unsettling things happen. With suspicion and paranoia mounting, each family member's faith, loyalty and love are tested in shocking ways.","2016-02-19","92","6.994","7403","7.1252","","","","","4000000","40423945","Evil takes many forms.","Released","Robert Eggers","","","/zap5hpFCWSvdWSuPGAQyjUv2wAC.jpg","/tMkziWBEHwXs0jdFhOrrW7oCPmR.jpg"
"473","Pi","Pi","A mathematical genius discovers a link between numbers and reality, and thus believes he can predict the future.","1998-07-10","84","7.113","2372","2.7151","","","","","60000","3221152","Faith in chaos.","Released","Darren Aronofsky","","","/dET9ULtaMJEUnfylQE1n5LC9gr7.jpg","/pVmCanXNPYqE74cJoL0U6C9ONf5.jpg"
"1112637","Naples to New York","Napoli-New York","In the immediate post-war period, amidst the rubble of a poverty-ridden Naples, two kids, Carmine and Celestina, try to survive as best they can by helping each other out. One night, they secretly board a ship bound for New York to reach Celestina’s sister, who emigrated to America several years earlier.  The two children join the many Italian emigrants seeking a new life in America and arrive in an unknown metropolis, which, after several misadventures, they will learn to call home.","2024-11-21","124","7.2","152","4.2482","","","","","0","0","","Released","Gabriele Salvatores","","","/1e4WBvQ2eM2S94SNpev0P5PG2Ge.jpg","/612qR3S84a1Sat3K8FSGtkqQku8.jpg"
"4960","Synecdoche, New York","Synecdoche, New York","A theater director struggles with his work, and the women in his life, as he attempts to create a life-size replica of New York inside a warehouse as part of his new play.","2008-10-24","124","7.545","1519","2.1996","","","","","20000000","4383538","","Released","Charlie Kaufman","","","/5UwdhrjXhUgsiDhe1dpS9z4yj7q.jpg","/insPcjOIWFf6Uc9DR0ORgXATqSM.jpg"
